省份,确诊,疑似,治愈,死亡
湖北省,48206,0,3441,1310
广东省,1219,0,275,1
河南省,1169,0,258,10
浙江省,1145,0,327,0
湖南省,968,0,312,2
安徽省,910,0,128,5
江西省,872,0,170,1
江苏省,570,0,131,0
重庆市,518,0,102,3
山东省,506,0,98,2
四川省,451,0,93,1
黑龙江省,395,0,31,9
北京市,352,0,56,3
上海市,313,0,57,1
福建省,279,0,54,0
河北省,265,0,54,3
陕西省,225,0,43,0
广西壮族自治区,222,0,33,2
海南省,157,0,27,4
云南省,154,0,26,0
贵州省,135,0,20,1
山西省,126,0,33,0
辽宁省,116,0,20,1
天津市,112,0,11,2
甘肃省,87,0,31,2
吉林省,84,0,22,1
宁夏回族自治区,64,0,24,0
新疆维吾尔自治区,63,0,3,1
内蒙古自治区,61,0,6,0
香港,50,0,1,1
台湾,18,0,1,0
青海省,18,0,9,0
澳门,10,0,2,0
西藏自治区,1,0,1,0
