省份,城市,确诊,疑似,治愈,死亡
北京市,海淀区,49,0,0,0
北京市,西城区,37,0,0,0
北京市,大兴区,34,0,2,0
北京市,丰台区,26,0,0,0
北京市,外地来京人员,25,0,2,0
北京市,昌平区,17,0,0,0
北京市,通州区,15,0,0,0
北京市,房山区,14,0,0,0
北京市,石景山区,13,0,0,0
北京市,顺义区,9,0,0,0
北京市,东城区,8,0,0,0
北京市,怀柔区,7,0,0,0
北京市,密云区,4,0,0,0
北京市,门头沟区,3,0,0,0
北京市,延庆区,1,0,0,0
北京市,待明确地区,0,0,30,2
黑龙江省,哈尔滨,100,0,9,0
黑龙江省,绥化,44,0,1,2
黑龙江省,双鸭山,36,0,1,2
黑龙江省,鸡西,31,0,0,0
黑龙江省,齐齐哈尔,27,0,0,0
黑龙江省,牡丹江,13,0,1,0
黑龙江省,大庆,13,0,0,1
黑龙江省,佳木斯,13,0,1,0
黑龙江省,七台河,11,0,0,0
黑龙江省,鹤岗,3,0,0,0
黑龙江省,大兴安岭,2,0,0,0
黑龙江省,黑河,2,0,0,0
上海市,外地来沪人员,96,0,20,1
上海市,浦东新区,53,0,8,0
上海市,宝山区,17,0,0,0
上海市,徐汇区,16,0,1,0
上海市,静安区,15,0,3,0
上海市,闵行区,14,0,2,0
上海市,松江区,14,0,0,0
上海市,长宁区,11,0,1,0
上海市,奉贤区,9,0,1,0
上海市,虹口区,7,0,1,0
上海市,杨浦区,7,0,0,0
上海市,普陀区,7,0,0,0
上海市,嘉定区,6,0,1,0
上海市,青浦区,5,0,2,0
上海市,黄浦区,5,0,1,0
上海市,金山区,2,0,0,0
上海市,崇明区,2,0,0,0
福建省,福州,59,0,10,0
福建省,莆田,47,0,1,0
福建省,泉州,40,0,4,0
福建省,厦门,25,0,2,0
福建省,宁德,21,0,4,0
福建省,漳州,16,0,1,0
福建省,南平,14,0,1,0
福建省,三明,12,0,1,0
福建省,龙岩,5,0,0,0
河北省,沧州,28,0,4,1
河北省,邯郸,26,0,2,0
河北省,石家庄,24,0,3,0
河北省,唐山,23,0,2,0
河北省,邢台,21,0,4,0
河北省,廊坊,20,0,4,0
河北省,保定,18,0,8,0
河北省,张家口,14,0,1,0
河北省,承德,7,0,0,0
河北省,衡水,7,0,0,0
河北省,秦皇岛,7,0,0,0
陕西省,西安,88,0,10,0
陕西省,安康,21,0,1,0
陕西省,汉中,21,0,0,0
陕西省,咸阳,16,0,2,0
陕西省,宝鸡,12,0,2,0
陕西省,渭南,9,0,0,0
陕西省,铜川,8,0,4,0
陕西省,延安,8,0,0,0
陕西省,商洛,7,0,1,0
陕西省,榆林,3,0,0,0
陕西省,韩城,1,0,0,0
陕西省,杨凌,1,0,0,0
广西壮族自治区,南宁,32,0,0,0
广西壮族自治区,北海,32,0,2,0
广西壮族自治区,桂林,29,0,5,0
广西壮族自治区,柳州,20,0,3,0
广西壮族自治区,防城港,16,0,1,0
广西壮族自治区,河池,15,0,0,0
广西壮族自治区,玉林,9,0,1,0
广西壮族自治区,钦州,8,0,0,0
广西壮族自治区,贵港,7,0,0,0
广西壮族自治区,梧州,5,0,2,0
广西壮族自治区,贺州,4,0,0,0
广西壮族自治区,百色,3,0,0,0
广西壮族自治区,来宾,3,0,0,0
广西壮族自治区,待明确地区,0,0,3,0
云南省,昆明,41,0,6,0
云南省,西双版纳,15,0,2,0
云南省,玉溪,14,0,2,0
云南省,大理,11,0,2,0
云南省,曲靖,11,0,1,0
云南省,昭通,10,0,1,0
云南省,保山,9,0,0,0
云南省,丽江,7,0,1,0
云南省,红河,5,0,1,0
云南省,德宏,5,0,0,0
云南省,普洱,4,0,0,0
云南省,楚雄,4,0,0,0
云南省,临沧,1,0,0,0
云南省,文山,1,0,0,0
云南省,待明确地区,0,0,1,0
海南省,三亚,37,0,9,1
海南省,海口,23,0,4,0
海南省,万宁,12,0,0,0
海南省,儋州,11,0,0,0
海南省,澄迈,7,0,0,1
海南省,琼海,6,0,0,0
海南省,临高,5,0,0,0
海南省,昌江,5,0,0,0
海南省,陵水,4,0,0,0
海南省,东方,3,0,0,0
海南省,定安,3,0,0,0
海南省,文昌,3,0,0,0
海南省,保亭,2,0,0,0
海南省,琼中,1,0,0,0
海南省,乐东,1,0,0,0
海南省,待明确地区,1,0,1,0
山西省,晋中,30,0,5,0
山西省,运城,17,0,4,0
山西省,太原,12,0,1,0
山西省,大同,10,0,3,0
山西省,晋城,8,0,2,0
山西省,吕梁,6,0,3,0
山西省,忻州,6,0,0,0
山西省,长治,5,0,0,0
山西省,阳泉,4,0,0,0
山西省,朔州,4,0,1,0
山西省,临汾,2,0,1,0
辽宁省,沈阳,25,0,3,0
辽宁省,大连,16,0,3,0
辽宁省,盘锦,11,0,0,0
辽宁省,锦州,9,0,1,0
辽宁省,葫芦岛,9,0,0,0
辽宁省,丹东,7,0,1,0
辽宁省,阜新,7,0,0,0
辽宁省,朝阳,6,0,0,0
辽宁省,本溪,3,0,0,0
辽宁省,铁岭,3,0,0,0
辽宁省,辽阳,3,0,0,0
辽宁省,鞍山,3,0,0,0
辽宁省,营口,1,0,0,0
贵州省,毕节,21,0,0,0
贵州省,贵阳,18,0,1,0
贵州省,遵义,15,0,1,0
贵州省,六盘水,9,0,0,1
贵州省,黔南州,7,0,3,0
贵州省,铜仁,6,0,2,0
贵州省,黔东南州,5,0,0,0
贵州省,黔西南州,4,0,0,0
贵州省,安顺,4,0,0,0
天津市,宝坻区,29,0,0,1
天津市,河东区,10,0,1,0
天津市,河北区,10,0,0,0
天津市,和平区,6,0,0,0
天津市,外地来津人员,6,0,0,0
天津市,河西区,4,0,0,0
天津市,宁河区,4,0,0,0
天津市,西青区,4,0,0,0
天津市,东丽区,4,0,0,0
天津市,南开区,3,0,0,0
天津市,滨海新区,3,0,0,0
天津市,红桥区,2,0,1,0
天津市,津南区,1,0,0,0
天津市,北辰区,1,0,0,0
天津市,武清区,1,0,0,0
天津市,待明确地区,0,0,2,0
甘肃省,兰州,32,0,5,1
甘肃省,天水,10,0,1,0
甘肃省,定西,8,0,1,0
甘肃省,陇南,4,0,0,0
甘肃省,白银,4,0,0,0
甘肃省,临夏,3,0,2,0
甘肃省,甘南,3,0,0,0
甘肃省,张掖,2,0,0,0
甘肃省,平凉,2,0,0,0
甘肃省,庆阳,2,0,0,0
甘肃省,金昌,1,0,0,0
吉林省,长春,32,0,1,0
吉林省,四平市,10,0,0,1
吉林省,公主岭,6,0,1,0
吉林省,辽源,6,0,0,0
吉林省,吉林市,5,0,2,0
吉林省,延边,5,0,0,0
