省份,确诊,疑似,治愈,死亡
湖北省,62031,0,10521,2029
广东省,1332,0,642,5
河南省,1265,0,637,19
浙江省,1175,0,633,1
安徽省,987,0,474,6
江西省,934,0,433,1
湖南省,1010,0,634,4
黑龙江省,476,0,136,12
四川省,520,0,217,3
山东省,546,0,254,4
重庆市,560,0,274,5
江苏省,631,0,356,0
北京市,395,0,153,4
福建省,293,0,126,1
广西壮族自治区,245,0,90,2
上海市,334,0,199,2
河北省,307,0,169,5
陕西省,245,0,118,1
云南省,173,0,79,1
海南省,168,0,86,4
贵州省,146,0,72,2
天津市,131,0,59,3
辽宁省,121,0,59,1
香港,67,0,6,2
内蒙古自治区,75,0,16,0
山西省,131,0,73,0
新疆维吾尔自治区,76,0,22,1
吉林省,91,0,43,1
宁夏回族自治区,71,0,44,0
台湾,24,0,2,1
甘肃省,91,0,71,2
澳门,10,0,6,0
青海省,18,0,16,0
西藏自治区,1,0,1,0
